tconst	directors
tt0000001	nm0005690
tt0000002	nm0721526
tt0000003	nm0721526
tt0000004	nm0721526
tt0000005	nm0005690
tt0000006	nm0005690
tt0000007	nm0005690,nm0374658
tt0000008	nm0005690
tt0000009	nm0085156
tt0000010	nm0525910
tt0000011	nm0804434
tt0000012	nm0525910,nm0525908
tt0000013	nm0525910
tt0000014	nm0525910
tt0000015	nm0721526
tt0000016	nm0525910
tt0000017	nm1587194,nm0804434
tt0000018	nm0804434
tt0000019	nm0932055
tt0000020	nm0010291
tt0000022	nm0525910
tt0000023	nm0525910
tt0000024	nm0010291
tt0000025	nm0010291
tt0000026	nm0525910
tt0000027	nm0525910
tt0000028	nm0525910
tt0000029	nm0525910
tt0000030	nm0010291,nm0666972
